"runset","context","name","capex_mn_EUR_per_yr","opex_mn_EUR","net_import_costs_mn_EUR","interconnector_capex_mn_EUR","final_demand_TWh","system_costs_mn_EUR","nuclear_GW","totex_EUR_per_MWh","diff_of_increase","overrun","wacc","extra_capex_mn_EUR_per_yr","totex_increase_EUR_per_MWh"
"optimistic-demand","Odpor k OZE",1,5060.08166708436,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,6723.62273947512,3.16,81.8692195842002,-1.30086134066055,"6270 €/kW",0.04,-173.757460871785,9.27643029240639
"optimistic-demand","Odpor k OZE",1,5126.33964237248,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,6789.88071476324,3.16,82.6760002347891,-1.30086134066055,"7315 €/kW",0.04,-107.49948558366,6.85609265829173
"optimistic-demand","Odpor k OZE",1,5195.2397076351,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,6858.78078002586,3.16,83.5149519117226,-1.30086134066055,"8360 €/kW",0.04,-38.5994203210437,4.33924211731309
"optimistic-demand","Odpor k OZE",1,5266.89340234209,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,6930.43447473285,3.16,84.3874327592194,-1.30086134066055,"9405 €/kW",0.04,33.0542743859436,1.72180424408297
"optimistic-demand","Odpor k OZE",1,5341.40000019905,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,7004.94107258981,3.16,85.2946515691937,-1.30086134066055,"10450 €/kW",0.04,107.560872242906,0.0911117111899955
"optimistic-demand","Odpor k OZE",1,5418.87959266781,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,7082.42066505857,3.16,86.2380706179571,-1.30086134066055,"11495 €/kW",0.04,185.040464711665,0.194227639566407
"optimistic-demand","Odpor k OZE",1,5499.45143569824,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,7162.992508089,3.16,87.2191420083303,-1.30086134066055,"12540 €/kW",0.04,265.612307742091,1.17529902993961
"optimistic-demand","Odpor k OZE",1,5583.23956373341,2308.47212828179,-645.806840655897,0.875784764864609,82.1263812409994,7246.78063612417,3.16,88.2393760277656,-1.30086134066055,"13585 €/kW",0.04,349.400435777269,2.19553304937487
"optimistic-demand","Odpor k OZE",2,5708.28083907618,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,6444.29626384584,4.26,78.4677312635242,-1.41588965949589,"6270 €/kW",0.04,-347.514921743569,5.75991365289502
"optimistic-demand","Odpor k OZE",2,5840.79678965243,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,6576.81221442209,4.26,80.0812861921336,-1.41588965949589,"7315 €/kW",0.04,-214.99897116732,4.14635029680088
"optimistic-demand","Odpor k OZE",2,5978.59692017766,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,6714.61234494732,4.26,81.7591829193209,-1.41588965949589,"8360 €/kW",0.04,-77.1988406420875,2.46844480607606
"optimistic-demand","Odpor k OZE",2,6121.90430959164,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,6857.9197343613,4.26,83.5041377227958,-1.41588965949589,"9405 €/kW",0.04,66.1085487718873,0.723480888824085
"optimistic-demand","Odpor k OZE",2,6270.91750530556,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,7006.93293007522,4.26,85.3185681768391,-1.41588965949589,"10450 €/kW",0.04,215.121744485812,0
"optimistic-demand","Odpor k OZE",2,6425.87669024308,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,7161.89211501274,4.26,87.2053988225232,-1.41588965949589,"11495 €/kW",0.04,370.08092942333,1.04652752529717
"optimistic-demand","Odpor k OZE",2,6587.02037630393,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,7323.03580107359,4.26,89.1675338540201,-1.41588965949589,"12540 €/kW",0.04,531.224615484183,3.00866255679411
"optimistic-demand","Odpor k OZE",2,6754.59663237429,1747.49343641632,-1012.35379641153,0.875784764864609,82.1267055906519,7490.61205714395,4.26,91.2079938343049,-1.41588965949589,"13585 €/kW",0.04,698.800871554538,5.04912253707889
"optimistic-demand","Odpor k OZE",3,5583.00945787919,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,6202.42265204926,5.36,75.5226820284524,-1.41439967010346,"6270 €/kW",0.04,-521.272382615353,2.81635440721558
"optimistic-demand","Odpor k OZE",3,5781.78338374357,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,6401.19657791363,5.36,77.9430169267267,-1.41439967010346,"7315 €/kW",0.04,-322.498456750979,2.0095710207864
"optimistic-demand","Odpor k OZE",3,5988.48357953141,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,6607.89677370148,5.36,80.4598646227712,-1.41439967010346,"8360 €/kW",0.04,-115.798260963131,1.17061649891879
"optimistic-demand","Odpor k OZE",3,6203.44466365238,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,6822.85785782245,5.36,83.0772995373679,-1.41439967010346,"9405 €/kW",0.04,99.1628231578312,0.29813269278857
"optimistic-demand","Odpor k OZE",3,6426.96445722326,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,7046.37765139333,5.36,85.7989480356917,-1.41439967010346,"10450 €/kW",0.04,322.682616728719,0.481869848245012
"optimistic-demand","Odpor k OZE",3,6659.40323462954,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,7278.81642879961,5.36,88.6291969338922,-1.41439967010346,"11495 €/kW",0.04,555.121394134995,2.4718156260586
"optimistic-demand","Odpor k OZE",3,6901.11876372082,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,7520.53195789089,5.36,91.5724025277368,-1.41439967010346,"12540 €/kW",0.04,796.836923226274,5.4150212199032
"optimistic-demand","Odpor k OZE",3,7152.48314782635,1716.95325139942,-1098.41584199422,0.875784764864609,82.1266205788688,7771.89634199642,5.36,94.633095666378,-1.41439967010346,"13585 €/kW",0.04,1048.20130733181,8.47571435854441
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"6270 €/kW",0.04,0,4.35063255586276
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"7315 €/kW",0.04,0,1.12345706495444
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"8360 €/kW",0.04,0,0
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"9405 €/kW",0.04,0,0
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"10450 €/kW",0.04,0,0
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"11495 €/kW",0.04,0,0
"optimistic-demand","Optimální vývoj",0,3637.59091221548,628.474837581703,1998.84130910102,161.9582933597,82.1258365530916,6426.8653522579,2.06,78.2563152109038,1.39087061917694,"12540 €/kW",0.04,0,0
