name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,BA,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,S,production_TWh,,22.53,,,,,,,,,0,,,,,,1.608,0.115,0.027,,,2.393,,,,,,,0.453,,0.142,0.176
2025-cheap-ets,BA,S,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,S,production_hours,,,,,,,,,,,0,,,,,,4368,1149,4368,,,4368,,,,,,,,,472,
2025-cheap-ets,BA,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,,,0.176
2025-cheap-ets,BA,S,wholesale_expenses_mn_EUR,72.519,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,
2025-cheap-ets,BA,S,wholesale_revenues_mn_EUR,25.147,,,,,,,,,,,,,,,,135.584,9.551,2.316,,,209.318,,,,,,,39.166,,11.673,16.244
2025-cheap-ets,BA,W,avg_consumer_price_EUR_per_MWh,,85.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,avg_producer_price_EUR_per_MWh,,86.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,capacity_factor,,1.324,,,,,,,,,,,,,,,0.306,0.249,0.249,,,0.907,,,,,,,0.229,,0.152,0.107
2025-cheap-ets,BA,W,capex_mn_EUR_per_yr,,,,,,,,,,,,,,,,,387.194,22.062,5.079,,,55.288,,,,,,,75.955,,89.384,15.112
2025-cheap-ets,BA,W,charged_TWh,,0.001,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,
2025-cheap-ets,BA,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,discharged_TWh,,9.784,,,,,,,,,,,,,,,2.56,0.119,0.027,,,,,,,,,,,,0.293,
