name,year,week,neighbour,ImportTWh,ExportTWh
Kritický 25,2009,11,AT,0.05,0
Kritický 25,2009,11,SK,0.005,0.045
Kritický 25,2009,11,PL,0,0.065
Kritický 25,2009,11,DE,0.084,0.014
Kritický 25,2009,12,AT,0.06,0
Kritický 25,2009,12,SK,0.006,0.047
Kritický 25,2009,12,PL,0.001,0.066
Kritický 25,2009,12,DE,0.154,0.008
Kritický 25,2009,13,AT,0.059,0
Kritický 25,2009,13,SK,0.002,0.043
Kritický 25,2009,13,PL,0.002,0.059
Kritický 25,2009,13,DE,0.129,0.002
Kritický 25,2009,14,AT,0.039,0
Kritický 25,2009,14,SK,0.001,0.061
Kritický 25,2009,14,PL,0,0.057
Kritický 25,2009,14,DE,0.112,0.001
Kritický 25,2009,15,AT,0.053,0
Kritický 25,2009,15,SK,0.002,0.045
Kritický 25,2009,15,PL,0.001,0.063
Kritický 25,2009,15,DE,0.115,0.002
Kritický 25,2009,16,AT,0.062,0
Kritický 25,2009,16,SK,0.001,0.044
Kritický 25,2009,16,PL,0.001,0.048
Kritický 25,2009,16,DE,0.129,0
Kritický 25,2009,17,AT,0.071,0
Kritický 25,2009,17,SK,0,0.045
Kritický 25,2009,17,PL,0.001,0.042
Kritický 25,2009,17,DE,0.103,0.001
Kritický 25,2009,18,AT,0.076,0
Kritický 25,2009,18,SK,0.003,0.054
Kritický 25,2009,18,PL,0,0.057
Kritický 25,2009,18,DE,0.117,0.001
Kritický 25,2009,19,AT,0.038,0
Kritický 25,2009,19,SK,0.001,0.046
Kritický 25,2009,19,PL,0.001,0.057
Kritický 25,2009,19,DE,0.113,0.001
Kritický 25,2009,20,AT,0.045,0
Kritický 25,2009,20,SK,0,0.052
Kritický 25,2009,20,PL,0.001,0.058
Kritický 25,2009,20,DE,0.133,0.001
Kritický 25,2009,21,AT,0.067,0
Kritický 25,2009,21,SK,0.001,0.08
Kritický 25,2009,21,PL,0.004,0.061
Kritický 25,2009,21,DE,0.161,0
Kritický 25,2009,22,AT,0.073,0
Kritický 25,2009,22,SK,0.001,0.073
Kritický 25,2009,22,PL,0.001,0.059
Kritický 25,2009,22,DE,0.174,0
Kritický 25,2009,23,AT,0.057,0
Kritický 25,2009,23,SK,0,0.048
Kritický 25,2009,23,PL,0.001,0.054
Kritický 25,2009,23,DE,0.129,0.003
Kritický 25,2009,24,AT,0.052,0
Kritický 25,2009,24,SK,0,0.045
Kritický 25,2009,24,PL,0.001,0.06
Kritický 25,2009,24,DE,0.135,0
Kritický 25,2009,25,AT,0.062,0
Kritický 25,2009,25,SK,0.001,0.052
Kritický 25,2009,25,PL,0,0.061
Kritický 25,2009,25,DE,0.154,0
Kritický 25,2009,26,AT,0.053,0
Kritický 25,2009,26,SK,0.001,0.032
Kritický 25,2009,26,PL,0,0.061
Kritický 25,2009,26,DE,0.118,0
Kritický 25,2009,27,AT,0.059,0.001
Kritický 25,2009,27,SK,0.001,0.036
Kritický 25,2009,27,PL,0.001,0.056
Kritický 25,2009,27,DE,0.142,0
Kritický 25,2009,28,AT,0.049,0
Kritický 25,2009,28,SK,0.003,0.036
Kritický 25,2009,28,PL,0.003,0.053
Kritický 25,2009,28,DE,0.143,0.001
Kritický 25,2009,29,AT,0.06,0
Kritický 25,2009,29,SK,0.002,0.04
Kritický 25,2009,29,PL,0.002,0.05
Kritický 25,2009,29,DE,0.138,0.003
Kritický 25,2009,30,AT,0.052,0
Kritický 25,2009,30,SK,0.001,0.029
Kritický 25,2009,30,PL,0,0.049
Kritický 25,2009,30,DE,0.122,0.002
Kritický 25,2009,31,AT,0.054,0
Kritický 25,2009,31,SK,0.001,0.033
Kritický 25,2009,31,PL,0.001,0.057
Kritický 25,2009,31,DE,0.136,0
Kritický 25,2009,32,AT,0.048,0
Kritický 25,2009,32,SK,0.002,0.034
Kritický 25,2009,32,PL,0.003,0.052
Kritický 25,2009,32,DE,0.115,0
Kritický 25,2009,33,AT,0.05,0
Kritický 25,2009,33,SK,0.002,0.044
Kritický 25,2009,33,PL,0.002,0.045
Kritický 25,2009,33,DE,0.129,0.002
Kritický 25,2009,34,AT,0.05,0
Kritický 25,2009,34,SK,0.001,0.041
Kritický 25,2009,34,PL,0.001,0.045
Kritický 25,2009,34,DE,0.131,0.001
Kritický 25,2009,35,AT,0.047,0
Kritický 25,2009,35,SK,0.003,0.046
Kritický 25,2009,35,PL,0.002,0.064
Kritický 25,2009,35,DE,0.155,0.005
Kritický 25,2009,36,AT,0.049,0.001
Kritický 25,2009,36,SK,0.001,0.048
Kritický 25,2009,36,PL,0.002,0.059
Kritický 25,2009,36,DE,0.18,0.002
Kritický 25,2009,37,AT,0.047,0
Kritický 25,2009,37,SK,0,0.064
